combination_id,max_weight,cardinality,sector_max,objective,annual_return,annual_volatility,sharpe_ratio,selected_assets
881,0.18,17,0.1,72.40333042271195,0.23602176164842023,0.12134863597553786,1.78017461763614,10
855,0.18,10,0.2,0.1448751023645497,0.24495828911254386,0.12691924141622038,1.772452203482789,10
657,0.15,9,0.1,104.86888933360032,0.22077927901716216,0.12074836827049544,1.6627908260208106,9
979,0.2,9,0.2,1.510571782908959,0.25010266003667236,0.1386973825818215,1.6590266936070575,7
988,0.2,11,0.25,0.05608512454560853,0.2574494955356442,0.14429048695858562,1.6456351388140869,11
185,0.07,19,0.1,473.1031215231406,0.21784527416570232,0.12065696360412329,1.6397335740590544,9
924,0.19,11,0.25,0.020698211996751897,0.2656869639178233,0.15027770264138718,1.6348863444107509,11
861,0.18,12,0.1,38.960129624044974,0.20647851668565922,0.115309878666826,1.6171946310382168,10
709,0.16,6,0.1,441.87065958225446,0.2443448223723074,0.13891479480163108,1.6149814905796718,6
528,0.13,8,0.25,0.010775436673396283,0.25955075228167745,0.1503383704459448,1.5934105948541566,8
506,0.12,19,0.15,4.063483413136551,0.2283839397501991,0.13147424354270795,1.584979187824784,12
462,0.12,8,0.15,43.37474610715088,0.22392142494179293,0.12997553324957462,1.5689216258126821,8
373,0.1,18,0.1,63.914865615813184,0.22060243341505395,0.12814564072945378,1.5654253416124695,11
590,0.14,8,0.15,0.19198203690255194,0.23686802910294458,0.13867985761534757,1.5638033729776775,8
255,0.08,20,0.2,15.32567576915046,0.2313243141721703,0.13537978086362581,1.5609739713277189,15
596,0.14,9,0.25,0.05028174120022251,0.2175844420595841,0.12707448390591583,1.5548710959618997,9
158,0.07,12,0.15,199.8093411220152,0.2308076178298071,0.13622234958781032,1.547525927042672,12
327,0.1,6,0.2,401.51546083914485,0.24845001060947466,0.14934865996304042,1.5296421853802344,6
688,0.15,16,0.25,0.030616517263702042,0.2195947165796133,0.13201420797372165,1.5119184491062054,16
513,0.13,5,0.1,850.5055040843554,0.23512322892682938,0.14258821002285352,1.5087027804918107,5
672,0.15,12,0.25,0.036170079993282936,0.2269653408473472,0.13749727573317083,1.5052323018311076,12
412,0.11,11,0.25,0.08771679327598957,0.20832768837003543,0.12514501557075491,1.504875663733951,11
961,0.2,5,0.1,500.4853902680513,0.21396016599748768,0.12938586514757625,1.4990831168169616,5
618,0.14,15,0.15,1.1395847510741148,0.22385636449468824,0.13610975954335736,1.4977351012786884,15
908,0.19,7,0.25,0.06802326652465952,0.2318246261392522,0.14202520617379652,1.4914579731716213,7
623,0.14,16,0.2,0.021097261930238892,0.22489724766733024,0.13781063648150654,1.4868028542544782,16
438,0.11,18,0.15,4.783715174230353,0.24435604663590457,0.15124868826791718,1.4833586274711177,13
594,0.14,9,0.15,0.5869646911129406,0.22618863154168525,0.1404208452031548,1.468361988872667,9
798,0.17,12,0.15,3.1549966709478947,0.21236455989868808,0.13130835892049367,1.464983352774697,10
571,0.13,19,0.2,0.3053547873074479,0.20876581878071182,0.1295198571471941,1.4574276326307793,19
817,0.17,17,0.1,39.23617943355156,0.20613255973179953,0.1278180253287013,1.4562309130745414,11
859,0.18,11,0.2,0.009204688628408814,0.22061424983099548,0.13828820299636008,1.4506967730014968,11
429,0.11,16,0.1,80.65523715383189,0.19239797307191125,0.11897502040848298,1.4490266316408986,10
738,0.16,13,0.15,4.179324874983912,0.23548642450934082,0.14875116487333923,1.448636887602368,8
898,0.19,5,0.15,300.34896009955685,0.23311321308222285,0.14776133525422092,1.442279962586729,5
876,0.18,15,0.25,0.04880379833375312,0.20342615716048135,0.12741174917605752,1.4396329879046172,15
235,0.08,15,0.2,0.057891003682371406,0.21969012554745576,0.13882410782020826,1.438439826359809,15
356,0.1,13,0.25,-0.0005949827865082413,0.22319988627043752,0.14145642684980295,1.436483946298129,13
313,0.09,19,0.1,175.150551442058,0.2176377769809003,0.13901597804774204,1.42169108728657,10
446,0.11,20,0.15,51.99767002731637,0.23483145731721708,0.15133893213668023,1.419538609689635,11
872,0.18,14,0.25,0.03356910633891849,0.20617277740796275,0.1311906631017416,1.4191008186579648,14
