ticker,current_price,bid,ask,spread_pct
A,114.96,114.84504,115.07495999999998,0.001999999999999814
AAPL,308.82,308.55,309.89,0.004339097208729924
ABBV,215.7,215.4843,215.91569999999996,0.0019999999999998517
ABNB,132.35,132.2,132.51,0.002342274272761634
ABT,87.41,87.32258999999999,87.49740999999999,0.001999999999999964
ACGL,96.3,88.41,104.09,0.16282450674974047
ACN,179.24,179.06076000000002,179.41924,0.0019999999999999215
ADBE,244.76,244.44,244.59,0.0006128452361497209
ADI,397.07,396.58,397.49,0.00229178734228228
ADM,77.52,77.44247999999999,77.59751999999999,0.0019999999999999953
ADP,225.31,225.11,225.6,0.0021747814122763335
ADSK,240.99,240.68,241.35,0.002780198348479138
AEE,111.29,111.17871000000001,111.40128999999999,0.0019999999999998144
AEP,131.59,123.21,136.5,0.1009955163766244
AES,14.68,14.66532,14.694679999999998,0.001999999999999913
AFL,117.86,117.74214,117.97785999999999,0.0019999999999998847
AIG,77.05,76.97295,77.12704999999998,0.0019999999999998114
AIZ,254.82,254.56518,255.07481999999996,0.0019999999999998504
AJG,204.75,204.54525,204.95475,0.0019999999999999025
AKAM,147.23,146.95,147.48,0.0035998098213679357
ALB,171.58,171.40842,171.75158,0.0019999999999999025
ALGN,163.61,150.26,175.66,0.15524723427663348
ALL,216.6,216.3834,216.81659999999997,0.001999999999999866
ALLE,130.43,130.29957000000002,130.56043,0.001999999999999844
AMAT,432.16,428.0,434.8,0.015734912995186992
AMCR,38.38,38.341620000000006,38.41838,0.0019999999999998188
AMD,467.51,446.78,475.96,0.0624157772026267
AME,224.52,224.29548,224.74452,0.0019999999999999844
AMGN,339.3,339.08,339.48,0.001178897730621969
AMP,452.31,451.85769,452.76230999999996,0.001999999999999924
AMT,183.85,183.66615,184.03384999999997,0.0019999999999999185
AMZN,266.32,254.83,267.0,0.045696905977771055
ANET,154.03,153.87597,154.18402999999998,0.001999999999999892
AON,324.78,324.45522,325.10477999999995,0.00199999999999985
AOS,57.28,57.22272,57.33727999999999,0.001999999999999829
APA,38.8,36.98,40.23,0.08376288659793815
APD,289.47,289.18053000000003,289.75947,0.0019999999999999606
APH,132.06,131.92794,132.19206,0.0019999999999999337
APO,128.51,128.38148999999999,128.63850999999997,0.0019999999999998673
APP,481.68,481.04,482.85,0.0037576814482644127
APTV,57.36,57.30264,57.417359999999995,0.001999999999999972
ARE,48.37,48.32163,48.41836999999999,0.00199999999999979
ARES,124.41,124.28559,124.53440999999998,0.0019999999999998452
ATO,177.81,177.63219,177.98781,0.0019999999999999302
AVB,185.65,185.46435,185.83565,0.0019999999999999506
AVGO,414.14,412.87,412.87,0.0001
AVY,159.66,159.50034,159.81965999999997,0.0019999999999998517
AWK,125.2,125.0748,125.3252,0.0019999999999999927
AXON,386.0,386.3,387.82,0.003937823834196844
AXP,311.78,311.46822,312.0917799999999,0.0019999999999998105
AZO,3406.5,3403.0935,3409.9064999999996,0.0019999999999998964
BA,219.02,218.80098,219.23901999999998,0.0019999999999998743
BAC,51.8,51.7482,51.85179999999999,0.0019999999999998656
BALL,56.51,56.453489999999995,56.566509999999994,0.001999999999999979
BAX,19.18,19.16082,19.19918,0.0019999999999998587
BBY,61.63,61.56837,61.691629999999996,0.001999999999999916
BDX,147.63,147.48237,147.77763,0.001999999999999897
BEN,31.02,30.988979999999998,31.051019999999998,0.0019999999999999888
BF-B,26.2,26.1738,26.226199999999995,0.0019999999999998136
BG,120.71,120.58928999999999,120.83070999999998,0.0019999999999999246
BIIB,193.76,182.53,201.6,0.09842072667217173
BKNG,161.06,160.98,161.23,0.0015522165652551844
BKR,66.06,65.96,66.1,0.0021192854980321006
BLDR,74.15,74.07585,74.22415,0.0019999999999998903
BLK,1073.0,1071.927,1074.0729999999999,0.001999999999999961
BMY,59.46,59.40054,59.519459999999995,0.0019999999999999276
BNY,139.15,139.01085,139.28914999999998,0.0019999999999998066
BR,150.49,150.33951000000002,150.64049,0.001999999999999876
BRK-B,486.38,485.89362,486.86637999999994,0.0019999999999998704
BRO,57.82,57.76218,57.87781999999999,0.0019999999999998613
BSX,57.78,57.72222,57.837779999999995,0.0019999999999999133
BX,118.51,118.39149,118.62850999999999,0.0019999999999998895
BXP,60.29,60.22971,60.350289999999994,0.001999999999999947
C,125.09,124.96491,125.21508999999999,0.0019999999999998886
CAG,13.56,13.54644,13.573559999999999,0.0019999999999998712
CAH,200.68,200.47932,200.88067999999998,0.0019999999999999133
CARR,63.14,63.07686,63.20313999999999,0.0019999999999997953
CASY,825.02,824.24,824.24,0.0001
CAT,879.89,879.0101099999999,880.7698899999999,0.001999999999999975
CB,327.89,327.56210999999996,328.21788999999995,0.0019999999999999784
CBOE,357.35,356.99265,357.70734999999996,0.0019999999999998227
CBRE,131.07,130.93893,131.20107,0.001999999999999909
CCI,91.46,91.36854,91.55145999999998,0.0019999999999997984
CCL,25.98,25.95402,26.005979999999997,0.0019999999999999064
CDNS,373.59,374.12,385.0,0.02912283519366149
CDW,110.82,104.81,115.07,0.0925825663237682
CEG,294.07,291.4,293.56,0.007345189920767249
CF,121.7,121.5783,121.82169999999999,0.001999999999999951
CFG,62.89,62.82711,62.95289,0.0019999999999999823
CHD,96.25,96.15375,96.34624999999998,0.0019999999999998053
CHRW,174.23,173.93,174.4,0.0026975836537909597
CHTR,145.15,136.61,151.62,0.10341026524285216
CI,286.24,285.95376,286.52624,0.001999999999999946
CIEN,583.74,583.15626,584.3237399999999,0.001999999999999923
CINF,168.1,167.91,168.25,0.002022605591909598
CL,90.61,90.51939,90.70060999999998,0.001999999999999801
CLX,95.11,95.01489,95.20510999999999,0.001999999999999963
CMCSA,25.205,25.17,25.23,0.002380480063479418
CME,291.23,290.98,291.38,0.0013734848744977415
CMG,32.89,32.85711,32.922889999999995,0.0019999999999998973
CMI,639.55,638.91045,640.1895499999999,0.0019999999999999554
CMS,74.53,74.45547,74.60453,0.0019999999999998864
CNC,59.14,59.08086,59.19913999999999,0.0019999999999998565
CNP,42.83,42.787169999999996,42.87282999999999,0.001999999999999934
COF,187.79,187.60220999999999,187.97778999999997,0.001999999999999921
COHR,377.57,377.19243,377.9475699999999,0.0019999999999998045
COIN,184.99,184.64,185.35,0.003838045299745975
COO,62.55,57.91,67.28,0.1498001598721024
COP,120.46,120.33954,120.58045999999997,0.0019999999999997867
COR,274.91,274.63509000000005,275.18491,0.0019999999999998335
COST,1028.24,1027.49,1029.33,0.0017894654944370168
CPAY,347.9,347.5521,348.24789999999996,0.0019999999999998934
CPB,20.58,20.53,20.62,0.004373177842565591
CPRT,33.79,31.28,36.79,0.1630659958567623
CPT,107.47,107.36252999999999,107.57746999999999,0.0019999999999999866
CRH,100.37,100.26963,100.47036999999999,0.00199999999999982
CRL,160.3,160.1397,160.4603,0.001999999999999904
CRM,180.07,179.88993,180.25006999999997,0.001999999999999849
CRWD,663.46,663.56,668.0,0.00669218943116398
CSCO,120.41,112.41,126.79,0.11942529690225073
CSGP,33.95,33.88,34.0,0.003534609720176655
CSX,45.52,45.49,45.56,0.0015377855887522029
CTAS,172.93,160.17,188.58,0.16428612733475986
CTSH,52.75,50.54,55.79,0.0995260663507109
CTVA,79.56,79.48044,79.63955999999999,0.00199999999999984
CVNA,68.28,68.21172,68.34827999999999,0.0019999999999998344
CVS,93.26,93.16674,93.35325999999999,0.0019999999999998643
CVX,191.43,191.23857,191.62142999999998,0.0019999999999998188
D,67.67,67.60233,67.73767,0.0019999999999999905
DAL,76.14,76.06386,76.21614,0.0019999999999998743
DASH,160.25,159.87,160.68,0.005054602184087377
DD,48.12,48.07188,48.168119999999995,0.001999999999999887
DDOG,222.32,211.94,232.0,0.09023029866858584
DE,529.15,528.62085,529.6791499999999,0.001999999999999844
DECK,106.67,106.56333000000001,106.77667,0.001999999999999888
DELL,295.19,294.89481,295.48519,0.001999999999999939
DG,105.65,105.54435000000001,105.75564999999999,0.001999999999999811
DGX,195.21,195.01479,195.40520999999998,0.001999999999999885
DHI,143.73,143.58626999999998,143.87372999999997,0.001999999999999872
DHR,172.0,171.828,172.17199999999997,0.0019999999999998005
DIS,103.0,102.897,103.103,0.0019999999999998916
DLR,192.03,191.83797,192.22203,0.001999999999999879
DLTR,94.98,94.82,95.16,0.003579700989682074
DOC,19.73,19.71027,19.74973,0.0019999999999999124
DOV,209.9,209.6901,210.10989999999998,0.0019999999999999085
