lambda,objective,annual_return,annual_volatility,sharpe_ratio,combo_rank,combo_max_weight,combo_cardinality,combo_sector_max
0.0,207.67787202570926,0.23169230482726397,0.20575813646507551,1.028840504021554,1,0.2,20,0.1
0.11,112.21189765361247,0.24031025924107652,0.20031035572955153,1.0998445808689383,1,0.2,20,0.1
0.22,202.13029633617472,0.18498118820036943,0.20030033281634407,0.823669066749086,1,0.2,20,0.1
0.33,105.47636017992644,0.21433752953045765,0.2104830573029949,0.9232929814902137,1,0.2,20,0.1
0.44,27.77009373851628,0.21404981842278498,0.204643392145013,0.9482339810184476,1,0.2,20,0.1
0.56,202.4875134090126,0.2442800077206401,0.20530212483593757,1.092438804030247,1,0.2,20,0.1
0.67,106.31288365973884,0.2133670691257677,0.19937297374717625,0.9698760343063118,1,0.2,20,0.1
0.78,101.8924043366235,0.21486525609953994,0.20135038887949624,0.9677918040484267,1,0.2,20,0.1
0.89,104.1092959518124,0.2041331146613904,0.20730585181708405,0.8882195704917193,1,0.2,20,0.1
1.0,112.03110386618556,0.2594741298483123,0.2138181080703313,1.1199899391567993,1,0.2,20,0.1
0.0,657.8077471139679,0.20876399714298613,0.1879413589451219,1.0043771004023891,2,0.05,20,0.1
0.11,803.452882876237,0.21191855331367684,0.19046327935995225,1.007640706169793,2,0.05,20,0.1
0.22,808.2441638785799,0.20407196212483278,0.19470267585497691,0.9454002689821154,2,0.05,20,0.1
0.33,802.953046472388,0.20228829411474955,0.21305589994095997,0.8555890457164695,2,0.05,20,0.1
0.44,804.3720293387112,0.28203097172595054,0.24058018356135266,1.0891627392042764,2,0.05,20,0.1
0.56,804.321550370114,0.2554772797218792,0.2218444322675991,1.0614522857974438,2,0.05,20,0.1
0.67,805.5901564977192,0.24393643506541707,0.1998339657488534,1.1206124755931386,2,0.05,20,0.1
0.78,809.4048880456148,0.23429970327191446,0.206105463216067,1.0397575101988306,2,0.05,20,0.1
0.89,656.623618473758,0.20345403694038214,0.19776711117240145,0.9276266202849976,2,0.05,20,0.1
1.0,659.3703961151605,0.23012270068984447,0.20430506505013027,1.0284752394087084,2,0.05,20,0.1
0.0,1250.5082766469127,0.23562335308735113,0.264997552435376,0.8136805457474345,3,0.05,5,0.1
0.11,1250.4966884663022,0.16979401452625684,0.19783232639950205,0.7571766316075323,3,0.05,5,0.1
0.22,1250.7667312784956,0.19783021324306743,0.21886945907036742,0.812494415613712,3,0.05,5,0.1
0.33,1251.4115338921295,0.18289055683737165,0.2287685426173172,0.7120321481867992,3,0.05,5,0.1
0.44,1250.5356079125102,0.15062956896659252,0.21929883684977886,0.5956692285425784,3,0.05,5,0.1
0.56,1250.4245117897947,0.23990326426202419,0.22586826940637095,0.9735907785541368,3,0.05,5,0.1
0.67,1250.6809336521005,0.17808354220827805,0.231804153792242,0.6819702737077042,3,0.05,5,0.1
0.78,1250.8290299467512,0.20048151382086438,0.2389503751496861,0.7553096064729132,3,0.05,5,0.1
0.89,1250.742731438326,0.20025316303006602,0.21294955423976142,0.8464594522095956,3,0.05,5,0.1
1.0,1250.8856811005853,0.1747000122550829,0.20440425774652954,0.7568336098307593,3,0.05,5,0.1
0.0,501.6774939510804,0.18970604891960724,0.2208488264676142,0.7684263105853241,4,0.2,5,0.1
0.11,500.4495823854728,0.11133830956611404,0.21048603898031,0.43393998960025243,4,0.2,5,0.1
0.22,521.6249386303494,0.175509773575801,0.23351115380971113,0.6659629359826056,4,0.2,5,0.1
0.33,500.7904040436659,0.1797818259212059,0.22534732137659078,0.7090469278495899,4,0.2,5,0.1
0.44,500.7664563118712,0.10669837353748898,0.21536122431056098,0.40257188272883265,4,0.2,5,0.1
0.56,501.1590289430732,0.19304569085539353,0.20945953858139124,0.8261533087840346,4,0.2,5,0.1
0.67,501.204470474267,0.16908508443768253,0.22047625563831724,0.676195647490725,4,0.2,5,0.1
0.78,502.1655506137537,0.22296230714196383,0.22927511557418953,0.8852347828226858,4,0.2,5,0.1
0.89,501.51542958852446,0.13944663329476092,0.19963089025661712,0.5983374273451233,4,0.2,5,0.1
1.0,501.55508588294356,0.16897811853532246,0.2142099039344438,0.6954772669190651,4,0.2,5,0.1
